Full Name,Date of Birth,Identification,Phone Number,Account Number,Enquiry Reason
Fiifi Mensah,1974-11-08,361440238,0244004454,,Application for credit by a borrower
Maame Ofori,1975-12-09,361450245,0244004585,,Application for credit by a borrower
Kwabena Danso,1976-01-10,361460252,0244004716,10000612,
Efua Opoku,1977-02-11,361470259,0244004847,,Application for credit by a borrower
Kwadwo Quaye,1978-03-12,361480266,0244004978,,Application for credit by a borrower
Yaa Tetteh,1979-04-13,361490273,0244005109,10000663,Application for credit by a borrower
Kwame Asante,1980-05-14,361500280,0244005240,,
Ama Owusu,1981-06-15,361510287,0244005371,,Application for credit by a borrower
Kofi Addo,1982-07-16,361520294,0244005502,10000714,Application for credit by a borrower
Akosua Nkrumah,1983-08-17,361530301,0244005633,,Application for credit by a borrower
Yaw Sarpong,1984-09-18,361540308,0244005764,,
Abena Armah,1985-10-19,361550315,0244005895,10000765,Application for credit by a borrower
Kojo Lartey,1986-11-20,361560322,0244006026,,Application for credit by a borrower
Afia Boateng,1987-12-21,361570329,0244006157,,Application for credit by a borrower
Kwesi Appiah,1988-01-22,361580336,0244006288,10000816,
Esi Agyeman,1989-02-23,361590343,0244006419,,Application for credit by a borrower
Nii Darko,1990-03-24,361600350,0244006550,,Application for credit by a borrower
Adwoa Arthur,1991-04-25,361610357,0244006681,10000867,Application for credit by a borrower
Kweku Annan,1992-05-26,361620364,0244006812,,
Akua Aboagye,1993-06-27,361630371,0244006943,,Application for credit by a borrower
Fiifi Mensah,1994-07-01,361640378,0244007074,10000918,Application for credit by a borrower
Maame Ofori,1995-08-02,361650385,0244007205,,Application for credit by a borrower
Kwabena Danso,1996-09-03,361660392,0244007336,,
Efua Opoku,1997-10-04,361670399,0244007467,10000969,Application for credit by a borrower
Kwadwo Quaye,1998-11-05,361680406,0244007598,,Application for credit by a borrower
Yaa Tetteh,1999-12-06,361690413,0244007729,,Application for credit by a borrower
Kwame Asante,1970-01-07,361700420,0244007860,10001020,
Ama Owusu,1971-02-08,361710427,0244007991,,Application for credit by a borrower
Kofi Addo,1972-03-09,361720434,0244008122,,Application for credit by a borrower
Akosua Nkrumah,1973-04-10,361730441,0244008253,10001071,Application for credit by a borrower
Yaw Sarpong,1974-05-11,361740448,0244008384,,
Abena Armah,1975-06-12,361750455,0244008515,,Application for credit by a borrower
Kojo Lartey,1976-07-13,361760462,0244008646,10001122,Application for credit by a borrower
Afia Boateng,1977-08-14,361770469,0244008777,,Application for credit by a borrower
Kwesi Appiah,1978-09-15,361780476,0244008908,,
Esi Agyeman,1979-10-16,361790483,0244009039,10001173,Application for credit by a borrower
Nii Darko,1980-11-17,361800490,0244009170,,Application for credit by a borrower
Adwoa Arthur,1981-12-18,361810497,0244009301,,Application for credit by a borrower
Kweku Annan,1982-01-19,361820504,0244009432,10001224,
Akua Aboagye,1983-02-20,361830511,0244009563,,Application for credit by a borrower
Fiifi Mensah,1984-03-21,361840518,0244009694,,Application for credit by a borrower
Maame Ofori,1985-04-22,361850525,0244009825,10001275,Application for credit by a borrower
Kwabena Danso,1986-05-23,361860532,0244009956,,
Efua Opoku,1987-06-24,361870539,0244010087,,Application for credit by a borrower
Kwadwo Quaye,1988-07-25,361880546,0244010218,10001326,Application for credit by a borrower
Yaa Tetteh,1989-08-26,361890553,0244010349,,Application for credit by a borrower
Kwame Asante,1990-09-27,361900560,0244010480,,
Ama Owusu,1991-10-01,361910567,0244010611,10001377,Application for credit by a borrower
Kofi Addo,1992-11-02,361920574,0244010742,,Application for credit by a borrower
Akosua Nkrumah,1993-12-03,361930581,0244010873,,Application for credit by a borrower
Yaw Sarpong,1994-01-04,361940588,0244011004,10001428,
Abena Armah,1995-02-05,361950595,0244011135,,Application for credit by a borrower
Kojo Lartey,1996-03-06,361960602,0244011266,,Application for credit by a borrower
Afia Boateng,1997-04-07,361970609,0244011397,10001479,Application for credit by a borrower
Kwesi Appiah,1998-05-08,361980616,0244011528,,
Esi Agyeman,1999-06-09,361990623,0244011659,,Application for credit by a borrower
Nii Darko,1970-07-10,362000630,0244011790,10001530,Application for credit by a borrower
Adwoa Arthur,1971-08-11,362010637,0244011921,,Application for credit by a borrower
Kweku Annan,1972-09-12,362020644,0244012052,,
Akua Aboagye,1973-10-13,362030651,0244012183,10001581,Application for credit by a borrower
Fiifi Mensah,1974-11-14,362040658,0244012314,,Application for credit by a borrower
Maame Ofori,1975-12-15,362050665,0244012445,,Application for credit by a borrower
Kwabena Danso,1976-01-16,362060672,0244012576,10001632,
Efua Opoku,1977-02-17,362070679,0244012707,,Application for credit by a borrower
Kwadwo Quaye,1978-03-18,362080686,0244012838,,Application for credit by a borrower
Yaa Tetteh,1979-04-19,362090693,0244012969,10001683,Application for credit by a borrower
Kwame Asante,1980-05-20,362100700,0244013100,,
Ama Owusu,1981-06-21,362110707,0244013231,,Application for credit by a borrower
Kofi Addo,1982-07-22,362120714,0244013362,10001734,Application for credit by a borrower
